"Thread ID","Title of Article","URL","Date and Time","Author Name","Content Description"
"4","Why Norrsken founder Niklas Adalberth is betting on Africa","https://techcrunch.com/2023/11/15/why-norrsken-founder-niklas-adalberth-is-betting-on-africa/","2023-11-15 14:56:00","Tage Kene-Okafor","In 2016, Niklas Adalberth, co-founder of Klarna, exited the buy now, pay later giant to establish the Norrsken Foundation, a nonprofit organization grounded in the principles of effective altruism. Wh"
"3","Martian’s tool automatically switches between LLMs to reduce costs","https://techcrunch.com/2023/11/15/martians-tool-automatically-switches-between-llms-to-reduce-costs/","2023-11-15 15:38:12","Kyle Wiggers","Shriyash Upadhyay and Etan Ginsberg, AI researchers from the University of Pennsylvania, are of the opinion that many large AI companies are sacrificing basic research in pursuit of developing competi"
"1","9 million patients had data stolen after US medical transcription firm hacked","https://techcrunch.com/2023/11/15/9-million-patients-had-data-stolen-after-us-medical-transcription-firm-hacked/","2023-11-15 15:05:04","Zack Whittaker","Close to nine million patients had highly sensitive personal and health information stolen during a cyberattack on a U.S. medical transcription service earlier this year, representing one of the worst"
"2","Ramp taps AI as fintech hunts for growth","https://techcrunch.com/2023/11/15/ramp-copilot-integration/","2023-11-15 15:30:28","Mary Ann Azevedo","Ramp and Brex have been vocal about how they believe AI will transform the way they operate and serve their customers."
"3","Ramp taps AI as fintech hunts for growth","https://techcrunch.com/2023/11/15/ramp-copilot-integration/","2023-11-15 15:30:28","Mary Ann Azevedo","Ramp and Brex have been vocal about how they believe AI will transform the way they operate and serve their customers."
"2","Why Norrsken founder Niklas Adalberth is betting on Africa","https://techcrunch.com/2023/11/15/why-norrsken-founder-niklas-adalberth-is-betting-on-africa/","2023-11-15 14:56:00","Tage Kene-Okafor","In 2016, Niklas Adalberth, co-founder of Klarna, exited the buy now, pay later giant to establish the Norrsken Foundation, a nonprofit organization grounded in the principles of effective altruism. Wh"
"1","US says Royal ransomware gang plans ‘Blacksuit’ rebrand","https://techcrunch.com/2023/11/15/cisa-fbi-royal-ransomware-blacksuit-sanctions/","2023-11-15 13:05:11","Zack Whittaker","The U.S. government says Royal, one of the most active ransomware gangs in recent years, is preparing to rebrand or spinoff with a new name, Blacksuit. In an update this week to a previously published"
"4","Female Founders Fund looks to raise $75 million for new fund","https://techcrunch.com/2023/11/15/female-founders-fund-75-million/","2023-11-15 13:00:43","Dominic-Madori Davis","The Fund was founded in 2014 to back female-founded companies at an early stage."
"2","Ask Sophie: How can I move to the US to join my co-founder?","https://techcrunch.com/2023/11/15/ask-sophie-how-can-i-move-to-the-u-s-to-join-my-co-founder/","2023-11-15 14:05:52","Sophie Alcorn","In this week's Ask Sophie column, we’ll dive into your best options for moving to the U.S. to join your co-founder and expand your business."
"3","Instagram adds new features, including custom AI stickers, photo filters, a clip hub and more","https://techcrunch.com/2023/11/15/instagram-adds-new-features-including-custom-ai-stickers-photo-filters-a-clip-hub-and-more/","2023-11-15 15:04:23","Sarah Perez","Alongside a bevy of creator updates, Instagram is adding a new feature that will allow users to create custom stickers for their Reels and Stories using AI. Driven by Meta’s Segment Anything AI"
"4","The time to triage is over","https://techcrunch.com/2023/11/15/the-time-to-triage-is-over/","2023-11-15 12:30:41","Rebecca Szkutak","In 2024, extension rounds and bridge financings will go back to being few and far between as VCs refocus on new deals."
"1","Amazon brings its home robot to businesses","https://techcrunch.com/2023/11/15/amazon-brings-its-home-robot-to-businesses/","2023-11-15 11:07:46","Kyle Wiggers","In an acknowledgement that cracking the home robotics market is hard, Amazon is bringing its Astro robot to a decidedly more corporate audience. The company today announced Astro for Business, which r"
"3","Amazon brings its home robot to businesses","https://techcrunch.com/2023/11/15/amazon-brings-its-home-robot-to-businesses/","2023-11-15 11:07:46","Kyle Wiggers","In an acknowledgement that cracking the home robotics market is hard, Amazon is bringing its Astro robot to a decidedly more corporate audience. The company today announced Astro for Business, which r"
"2","Anthym helps colleagues form workplace connections through music","https://techcrunch.com/2023/11/15/anthym-helps-colleagues-form-workplace-connections-through-music/","2023-11-15 13:18:03","Lauren Forristal","Anthym, a platform for employees to connect through personal memories and music taste, launched its latest product to make the onboarding process feel more personable for new hires. Dubbed “Welcome,"
"2","Inito, a startup that helps women quickly track fertility hormones at home, raises $6M","https://techcrunch.com/2023/11/15/inito-helps-women-quickly-track-fertility-hormones-at-home-raises-6m/","2023-11-15 13:00:57","Aisha Malik","Inito, a YC alum that helps women track fertility hormones quickly at home, has raised $6 million in Series A funding led by Fireside Ventures. The startup’s fertility monitor and kit is designed to"
"4","The bull case for software growth in 2024","https://techcrunch.com/2023/11/15/the-bull-case-for-software-growth-in-2024/","2023-11-15 12:00:18","Alex Wilhelm","Can tech companies meet rising investor confidence in their value with future results that will defend or extend those gains?"
"1","Digital pharmacy startup Truepill says hackers accessed sensitive data of 2.3 million patients","https://techcrunch.com/2023/11/15/truepill-hackers-millions-patients/","2023-11-15 09:00:57","Carly Page","Truepill, a digital health startup that provides pharmacy fulfillment services for healthcare organizations, has confirmed that hackers accessed the personal data of more than 2.3 million patients. In"
"3","Microsoft Teams gets an AI-powered home decorator","https://techcrunch.com/2023/11/15/microsoft-teams-gets-an-ai-driven-decorator-voice-isolation-and-more/","2023-11-15 11:00:58","Frederic Lardinois","At its annual Ignite conference, Microsoft today announced a slew of interesting updates for Teams, its Slack-like collaboration and messaging service. Among the dozens of updates here, some of the hi"
"3","Bing Chat is now Copilot","https://techcrunch.com/2023/11/15/bing-chat-is-now-copilot/","2023-11-15 11:00:47","Kyle Wiggers","Everything’s coming up Copilot — including Bing. Today at Ignite, Microsoft renamed Bing Chat, the AI-powered chatbot it launched on Bing earlier this year, to Copilot in Bing. Meanwhile,"
"2","The time to triage is over","https://techcrunch.com/2023/11/15/the-time-to-triage-is-over/","2023-11-15 12:30:41","Rebecca Szkutak","In 2024, extension rounds and bridge financings will go back to being few and far between as VCs refocus on new deals."
"1","Hackers are exploiting ‘CitrixBleed’ bug in the latest wave of mass cyberattacks","https://techcrunch.com/2023/11/14/citrix-bleed-critical-bug-ransomware-mass-cyberattacks/","2023-11-14 15:00:49","Carly Page","Security researchers say hackers are mass-exploiting a critical-rated vulnerability in Citrix NetScaler systems to launch crippling cyberattacks against big-name organizations worldwide. These cyberat"
"4","5 tips for founders looking to launch in the US","https://techcrunch.com/2023/11/15/5-tips-for-founders-looking-to-launch-in-the-us/","2023-11-15 10:35:01","Patrick Murphy","Patrick Murphy Contributor Share on X Patrick Murphy is a founding partner at Tapestry VC, an early-stage venture capital firm operating between San Francisco and London that focuses on backing techn"
"4","Meet Tanda, your friendly neighborhood savings, lending network","https://techcrunch.com/2023/11/15/tanda-savings-lending-network/","2023-11-15 07:01:32","Christine Hall","Tanda offers a peer-to-peer savings and lending network to small businesses as a way to retain employees, reduce turnover and minimize burnout."
"1","Healthcare giant McLaren reveals data on 2.2 million patients stolen during ransomware attack","https://techcrunch.com/2023/11/13/mclaren-cyberattack-millions-patients-ransomware/","2023-11-13 11:30:24","Zack Whittaker","Michigan-based McLaren Health Care has confirmed that the sensitive personal and health information of 2.2 million patients was compromised during a cyberattack earlier this year. A ransomware gang la"
"3","Google Photos turns to AI to organize and categorize your photos for you","https://techcrunch.com/2023/11/15/google-photos-turns-to-ai-to-organize-and-categorize-your-photos-for-you/","2023-11-15 11:00:41","Sarah Perez","Google Photos is rolling out a set of new features today that will leverage AI technologies to better organize and categorize photos for you. With the addition of something called Photo Stacks, Google"
"2","The bull case for software growth in 2024","https://techcrunch.com/2023/11/15/the-bull-case-for-software-growth-in-2024/","2023-11-15 12:00:18","Alex Wilhelm","Can tech companies meet rising investor confidence in their value with future results that will defend or extend those gains?"
"1","Maine government says data breach affects 1.3 million people","https://techcrunch.com/2023/11/09/maine-government-data-breach-clop-ransomware/","2023-11-09 17:15:35","Zack Whittaker","The government of Maine has confirmed over a million individuals had personal information stolen in a data breach earlier this year by a Russia-linked ransomware gang. In a statement published Thursda"
"4","Former YC Continuity head targets $350 million growth-stage fund","https://techcrunch.com/2023/11/14/former-yc-continuity-head-targets-350-million-growth-stage-fund/","2023-11-14 15:18:33","Manish Singh","Anu Hariharan, who led YC Continuity before the storied accelerator scrapped the program, has partnered with two of her former colleagues and former Brex executive Lucas Fox to launch a new fund that"
"3","Microsoft now has a Copilot for (almost) everything","https://techcrunch.com/2023/11/15/microsoft-now-has-a-copilot-for-almost-everything/","2023-11-15 11:00:32","Kyle Wiggers","Copilot, Microsoft’s brand of generative AI technologies, promises to be a big moneymaker for the company, with one analyst predicting that it could generate $10 billion in annualized revenue by"
"2","Here are this year’s top 40 startups at Station F","https://techcrunch.com/2023/11/15/here-are-this-years-top-40-startups-at-station-f/","2023-11-15 11:36:40","Romain Dillet","Every year, hundreds of (very) early stage startups choose to participate in one of the startup programs of Station F, an iconic startup campus based in Paris. And Station F has shared a list of the 4"
"3","Microsoft launches a deepfakes creator","https://techcrunch.com/2023/11/15/microsoft-launches-a-deepfakes-creator/","2023-11-15 11:00:19","Kyle Wiggers","One of the more unexpected products to launch out of this year’s Microsoft Ignite conference is a tool that can create a photorealistic avatar of a person and animate that avatar saying things t"
"1","Mr. Cooper says customer data exposed during cyberattack","https://techcrunch.com/2023/11/09/mr-cooper-confirms-customer-data-was-exposed-in-cyberattack/","2023-11-09 10:33:09","Zack Whittaker","Mr. Cooper, the mortgage and loan giant with more than four million customers, has confirmed customer data was compromised during a recent cyberattack. In an updated notice on its website published Th"
"3","Microsoft looks to free itself from GPU shackles by designing custom AI chips","https://techcrunch.com/2023/11/15/microsoft-looks-to-free-itself-from-gpu-shackles-by-designing-custom-ai-chips/","2023-11-15 11:00:01","Kyle Wiggers","Most companies developing AI models, particularly generative AI models like ChatGPT, GPT-4 Turbo and Stable Diffusion, rely heavily on GPUs. GPUs’ ability to perform many computations in paralle"
"1","SysAid warns customers to patch after ransomware gang caught exploiting new zero-day flaw","https://techcrunch.com/2023/11/09/sysaid-urge-clop-ransomware-patch/","2023-11-09 09:30:35","Carly Page","Software maker SysAid is warning customers that hackers linked to a notorious ransomware gang are exploiting a newly discovered vulnerability in its widely used IT service automation software. SysAid"
"3","Mindful drinking app Sunnyside lands $11.5M to launch its AI-powered coach","https://techcrunch.com/2023/11/15/mindful-drinking-app-sunnyside-lands-11-5m-to-launch-its-ai-powered-coach/","2023-11-15 10:00:54","Lauren Forristal","“Sober curious” and “mindful drinking” have become popular terms in recent years, with 47% of the U.S. adult population wanting to cut back on alcohol. Sunnyside, the app promo"
"1","Secure messaging app Signal moves a step closer to launching usernames","https://techcrunch.com/2023/11/09/signal-usernames-test/","2023-11-09 06:47:49","Natasha Lomas","End-to-end encrypted messaging app, Signal, is getting closer to launching a much anticipated feature that will allow users to share only a username in order to connect with other users, rather than h"
"3","Tech Spark AI raises $1.4 million to create ChatGPT alternative","https://techcrunch.com/2023/11/15/tech-spark-ai-closes-1-4-million-to-create-chatgpt-alternative/","2023-11-15 09:00:43","Dominic-Madori Davis","Tamar Huggins created the platform with her 13-year-old daughter, and hopes to target the Black Gen Z community."
"1","OpenAI blames DDoS attack for ongoing ChatGPT outage","https://techcrunch.com/2023/11/09/openai-blames-ddos-attack-for-ongoing-chatgpt-outage/","2023-11-09 05:07:32","Carly Page","OpenAI has confirmed that a distributed denial-of-service (DDoS) attack is behind “periodic outages” affecting ChatGPT and its developer tools. ChatGPT, OpenAI’s AI-powered chatbot, has been exp"
"3","Airbnb acquires secretive firm launched by Siri co-founder","https://techcrunch.com/2023/11/14/airbnb-acquires-secretive-firm-launched-by-siri-co-founder/","2023-11-14 12:59:05","Kyle Wiggers","Airbnb has acquired a secretive new AI startup, GamePlanner.AI, the company announced this morning. CNBC reports that the purchase price was around $200 million, a figure that TechCrunch was unable to"
"1","UK’s online safety regulator puts out draft guidance on illegal content, saying child safety is priority","https://techcrunch.com/2023/11/08/ofcom-illegal-content-draft-code/","2023-11-08 19:01:26","Natasha Lomas","The U.K.’s newly empowered Internet content regulator has published the first set of draft Codes of Practice under the Online Safety Act (OSA) which became law late last month. More codes will"
"3","Andreessen Horowitz backs Civitai, a generative AI content marketplace with millions of users","https://techcrunch.com/2023/11/14/andreessen-horowitz-backs-civitai-a-generative-ai-content-marketplace-with-millions-of-users/","2023-11-14 11:41:06","Sarah Perez","AI image generator Stable Diffusion already has a lot of fans, and now those experimenting with the new AI technology to develop their own models have a place to share their work with other enthusiast"
"1","Sumo Logic urges customers to reset API keys following security breach","https://techcrunch.com/2023/11/08/sumo-logic-urges-customers-to-reset-api-keys-following-security-breach/","2023-11-08 15:02:34","Carly Page","Sumo Logic, a U.S.-based cloud data analytics and log analysis company, is urging users to reset API keys after discovering a security breach. In a security notice published this week, Sumo Logic conf"
"1","Google-led App Defense Alliance joins Linux Foundation, with Meta and Microsoft joining too","https://techcrunch.com/2023/11/08/google-app-defense-alliance-linux-foundation-meta-microsoft/","2023-11-08 09:04:13","Paul Sawers","The App Defense Alliance (ADA), an initiative set up by Google back in 2019 to combat malicious Android apps infiltrating the Play app store, has joined the Joint Development Foundation (JDF), a Linux"
"4","A comprehensive list of 2023 tech layoffs","https://techcrunch.com/2023/11/14/tech-layoffs-2023-list/","2023-11-14 14:45:20","Alyssa Stringer","Last year’s techwide reckoning continues. The tech industry has seen more than 240,000 jobs lost in 2023, a total that’s already 50% higher than last year and growing. Earlier this year, mass work"
"2","To find success as a woman founder, embrace your scrappy side","https://techcrunch.com/2023/11/15/to-find-success-as-a-woman-founder-embrace-your-scrappy-side/","2023-11-15 11:35:39","Andrea Sommer","There is a wealth of information on the internet about fundraising for startups, but the existing playbooks need to be updated for women."
"2","5 tips for founders looking to launch in the US","https://techcrunch.com/2023/11/15/5-tips-for-founders-looking-to-launch-in-the-us/","2023-11-15 10:35:01","Patrick Murphy","Patrick Murphy Contributor Share on X Patrick Murphy is a founding partner at Tapestry VC, an early-stage venture capital firm operating between San Francisco and London that focuses on backing techn"
"4","TC+ Roundup: Is Getir’s most recent acquisition a sign of what’s to come?","https://techcrunch.com/2023/11/14/2628138/","2023-11-14 14:15:34","Karyne Levy","Fast-delivery startup Getir announced last week that it was buying FreshDirect, an online grocery delivery company."
"1","23andMe data theft prompts DNA testing companies to switch on 2FA by default","https://techcrunch.com/2023/11/07/23andme-ancestry-myheritage-two-factor-by-default/","2023-11-07 12:45:46","Zack Whittaker","DNA testing and genealogy companies are stepping up user account security by mandating the use of two-factor authentication, following the theft of millions of user records from DNA genetic testing gi"
"3","Celonis adds an AI copilot to ask questions about a process map","https://techcrunch.com/2023/11/14/celonis-adds-an-ai-copilot-to-ask-questions-about-a-process-map/","2023-11-14 11:18:27","Ron Miller","Celonis, the German process mining startup with a $13 billion valuation, is taking a varied approach to AI. Like many enterprise software companies, it has been using machine learning models for a num"
"2","What you need to know about Google’s search antitrust case","https://techcrunch.com/2023/11/15/what-you-need-to-know-about-googles-search-antitrust-case/","2023-11-15 10:05:54","Alex Wilhelm,  Rebecca Bellan","Welcome back to Equity. TechCrunch's Rebecca Bellan joined the podcast to help us better understand Google's search-related antitrust case that is currently ongoing in the United States."
"4","Mastering startup pitches: The 3 key imperatives for success","https://techcrunch.com/2023/11/14/mastering-startup-pitches-the-3-key-imperatives-for-success/","2023-11-14 11:35:06","Rebecca Liu-Doyle","Rebecca Liu-Doyle Contributor Share on X Rebecca Liu-Doyle is managing director at Insight Partners, a global private equity and venture capital firm. Her focus areas include high-growth software, mar"
"2","Mindful drinking app Sunnyside lands $11.5M to launch its AI-powered coach","https://techcrunch.com/2023/11/15/mindful-drinking-app-sunnyside-lands-11-5m-to-launch-its-ai-powered-coach/","2023-11-15 10:00:54","Lauren Forristal","“Sober curious” and “mindful drinking” have become popular terms in recent years, with 47% of the U.S. adult population wanting to cut back on alcohol. Sunnyside, the app promo"
"4","Building a conservative internet is an expensive proposition","https://techcrunch.com/2023/11/14/rumble-tmtg-q3-results/","2023-11-14 11:26:00","Alex Wilhelm","New data from TMTG and Rumble can help us understand how right-leaning social media services with long-term goals of building less restricted digital infrastructure are faring."
"1","Malwarebytes makes B2B unit spin-off official, launches ThreatDown","https://techcrunch.com/2023/11/07/malwarebytes-threatdown-business-spin-off/","2023-11-07 07:05:43","Carly Page","U.S.-based cybersecurity giant Malwarebytes today launched ThreatDown, a new brand that encompasses its business software portfolio and B2B-focused unit, the company confirmed to TechCrunch. Earlier t"
"3","Courtesy of AI: Weather forecasts for the hour, the week and the century","https://techcrunch.com/2023/11/14/courtesy-of-ai-weather-forecasts-for-the-hour-the-week-and-the-century/","2023-11-14 10:01:45","Devin Coldewey","Machine learning models are taking over in the field of weather forecasting, from a quick “how long will this rain last” to a 10-day outlook, all the way out to century-level predictions."
"2","Tech Spark AI raises $1.4 million to create ChatGPT alternative","https://techcrunch.com/2023/11/15/tech-spark-ai-closes-1-4-million-to-create-chatgpt-alternative/","2023-11-15 09:00:43","Dominic-Madori Davis","Tamar Huggins created the platform with her 13-year-old daughter, and hopes to target the Black Gen Z community."
"4","Monta Vista Capital closes its largest fund to date","https://techcrunch.com/2023/11/14/monta-vista-capital-closes-its-largest-fund-to-date/","2023-11-14 08:01:15","Christine Hall","Setting Monta Vista apart is that the firm doesn’t raise capital from institutional investors, but rather leverages a large network of 65 individual investors."
"3","You.com launches new APIs to connect LLMs to the web","https://techcrunch.com/2023/11/14/you-com-launches-new-apis-to-connect-llms-to-the-web/","2023-11-14 10:00:46","Kyle Wiggers","When OpenAI connected ChatGPT to the internet, it supercharged the AI chatbot’s capabilities. Now, the search engine You.com wants to do the same for every large language model (LLM) out there."
"2","Forward Health launches CarePods, a self-contained, AI-powered doctor’s office","https://techcrunch.com/2023/11/15/forward-health-carepod-ai-doctor/","2023-11-15 09:00:08","Matt Burns","Adrian Aoun, CEO and co-founder of Forward Health, aims to scale healthcare. It started in 2017 with the launch of tech-forward doctor’s offices that eschewed traditional medical staffing for te"
"1","Online store exposed millions of Chinese citizen IDs","https://techcrunch.com/2023/11/06/store-millions-chinese-citizen-identity-cards/","2023-11-06 17:55:34","Zack Whittaker","A security researcher said he discovered millions of Chinese citizen identity numbers spilling online after an e-commerce store left its database exposed to the internet. Viktor Markopoulos, a securit"
"4","etaily is a ‘one-stop solution’ for consumer brands that want to enter Southeast Asia","https://techcrunch.com/2023/11/13/etaily/","2023-11-13 20:00:30","Catherine Shu","E-commerce in Southeast Asia grew rapidly during the pandemic, and that momentum is continuing. A McKinsey report found that between now and 2026, the market is expected to triple at a compound growth"
"2","Meet Tanda, your friendly neighborhood savings, lending network","https://techcrunch.com/2023/11/15/tanda-savings-lending-network/","2023-11-15 07:01:32","Christine Hall","Tanda offers a peer-to-peer savings and lending network to small businesses as a way to retain employees, reduce turnover and minimize burnout."
"4","This VC firm thinks that AI automation could resurrect startup valuations","https://techcrunch.com/2023/11/13/battery-ventures-startup-valuations/","2023-11-13 12:06:33","Alex Wilhelm","If the savings are even half as good as Battery seems to think that they may prove, startups could be in for a more efficient, and more valuable, future."
"1","US sanctions Russian accused of laundering Ryuk ransomware funds","https://techcrunch.com/2023/11/06/us-sanctions-russian-accused-of-laundering-ryuk-ransomware-funds/","2023-11-06 12:35:45","Carly Page","The U.S. government has sanctioned a Russian national for allegedly laundering millions of dollars’ worth of victim ransom payments on behalf of individuals linked to the notorious Ryuk ransomwa"
"3","3D generative AI platform Atlas emerges from stealth with $6M to accelerate virtual worldbuilding","https://techcrunch.com/2023/11/14/3d-generative-ai-platform-atlas-emerges-stealth-6m-accelerate-virtual-worldbuilding/","2023-11-14 10:00:19","Aisha Malik","Atlas, a 3D generative AI platform, is launching with $6 million in seed funding after two years in stealth. The funding consists of two rounds: a $4.5 million round led by 6th Man Ventures (6MV) and"
"4","Are we at the start of a new crypto bull cycle?","https://techcrunch.com/2023/11/13/are-we-at-the-start-of-a-new-crypto-bull-cycle/","2023-11-13 10:10:53","Alex Wilhelm,  Theresa Loconsolo","Welcome back to Equity, the podcast about the business of startups, where we unpack the numbers and nuance behind the headlines. Our Monday show covers news from the weekend and the week to come."
"1","Confirmed: Palo Alto has acquired Talon Cyber Security, sources say for $625M","https://techcrunch.com/2023/11/06/confirmed-palo-alto-has-acquired-talon-cyber-security-sources-say-for-625m/","2023-11-06 09:06:37","Ingrid Lunden","Palo Alto Networks has just confirmed one more major piece of security startup M&A out of Israel: It has acquired Talon Cyber Security, a specialist in building enterprise browsers for securing di"
"4","Interplay secures $45M for third fund focused on B2B marketplaces, vertical software","https://techcrunch.com/2023/11/13/interplay-fund-venture-capital-b2b-marketplaces-vertical-software/","2023-11-13 09:02:45","Christine Hall","Mark Peter Davis, Interplay founder and managing partner, says the firm stands out with its outsized value proposition relative to its check size."
"1","Android’s new real-time app scanning aims to combat malicious sideloaded apps","https://techcrunch.com/2023/11/04/google-play-android-real-time-app-scanning-sideload-apps/","2023-11-04 12:20:56","Zack Whittaker,  Jagmeet Singh","Android’s in-built security engine Google Play Protect has a new feature that conducts a real-time analysis of an Android app’s code and blocks it from installing the app if it’s con"
"2","Remote connects talent and employers with a new job board","https://techcrunch.com/2023/11/15/remote-talent-job-board/","2023-11-15 07:00:16","Anna Heim","Remote, the HR tech company that allows companies to hire, manage and pay remote workers, is launching a remote job marketplace called Remote Talent. CEO and co-founder Job van der Voort said it seeme"
"4","Three human mistakes VCs often make, and how understanding them can help entrepreneurs fundraise better","https://techcrunch.com/2023/11/12/three-human-mistakes-vcs-often-make-and-how-understanding-them-can-help-entrepreneurs-fundraise-better/","2023-11-12 10:35:21","Alex Menn","The sheer number of non-economic mistakes made by VCs due to their human nature is seriously underestimated."
"3","Europe’s AI Act talks head for crunch point","https://techcrunch.com/2023/11/14/eu-ai-act-trilogue-crunch/","2023-11-14 09:56:53","Natasha Lomas","Negotiations between European Union lawmakers tasked with reaching a compromise on a risk-based framework for regulating applications of artificial intelligence appear to be on a tricky knife edge. Sp"
"4","Klarna’s and Affirm’s very good week","https://techcrunch.com/2023/11/12/klarna-and-affirms-very-good-week/","2023-11-12 10:25:18","Christine Hall,  Mary Ann Azevedo","Welcome back to The Interchange, where we take a look at the hottest fintech news of the previous week. If you want to receive The Interchange directly in your inbox every Sunday, head here to sign"
"3","YouTube adapts its policies for the coming surge of AI videos","https://techcrunch.com/2023/11/14/youtube-adapts-its-policies-for-the-coming-surge-of-ai-videos/","2023-11-14 09:49:13","Sarah Perez","YouTube today announced how it will approach handling AI-created content on its platform with a range of new policies surrounding responsible disclosure as well as new tools for requesting the removal"
"2","A comprehensive list of 2023 tech layoffs","https://techcrunch.com/2023/11/14/tech-layoffs-2023-list/","2023-11-14 14:45:20","Alyssa Stringer","Last year’s techwide reckoning continues. The tech industry has seen more than 240,000 jobs lost in 2023, a total that’s already 50% higher than last year and growing. Earlier this year, mass work"
"4","Deal Dive: BNPL expands beyond its roots — that’s a good thing","https://techcrunch.com/2023/11/11/qomodo-buy-now-pay-later/","2023-11-11 12:00:47","Rebecca Szkutak","There is a growing group of startups looking to expand the BNPL model into other categories."
"2","Use intellectual property to secure debt and equity-based funding","https://techcrunch.com/2023/11/14/use-intellectual-property-to-secure-debt-and-equity-based-funding/","2023-11-14 14:35:40","Keegan Caldwell","Keegan Caldwell Contributor Share on X Keegan Caldwell is the global managing partner and founder at Caldwell, a premier law firm specializing in high-growth technology and life sciences companies. C"
"2","TC+ Roundup: Is Getir’s most recent acquisition a sign of what’s to come?","https://techcrunch.com/2023/11/14/2628138/","2023-11-14 14:15:34","Karyne Levy","Fast-delivery startup Getir announced last week that it was buying FreshDirect, an online grocery delivery company."
"4","TC+ Roundup: Know your goals before taking the plunge","https://techcrunch.com/2023/11/10/tc-roundup-know-your-goals-before-taking-the-plunge/","2023-11-10 14:15:09","Karyne Levy","It’s not enough to just know your business model and potential TAM. You also have to consider your personal goals."
"2","Airbnb acquires secretive firm launched by Siri co-founder","https://techcrunch.com/2023/11/14/airbnb-acquires-secretive-firm-launched-by-siri-co-founder/","2023-11-14 12:59:05","Kyle Wiggers","Airbnb has acquired a secretive new AI startup, GamePlanner.AI, the company announced this morning. CNBC reports that the purchase price was around $200 million, a figure that TechCrunch was unable to"
